group,name,nrows,ncols,nnz,is_real,is_binary,is_nd,posdef,pattern_symmetry,numerical_symmetry,kind,nentries,estimated_mb,url
Cunningham,m3plates,11107,11107,6639,1,0,1,0,1.0,1.0,acoustics problem,6639,0.205,https://sparse.tamu.edu/MM/Cunningham/m3plates.tar.gz
Pajek,EVA,8497,8497,6726,1,1,0,0,0.003866745984533016,0.003866745984533016,directed graph,6726,0.207,https://sparse.tamu.edu/MM/Pajek/EVA.tar.gz
Boeing,bcsstm38,8032,8032,10485,1,0,1,0,1.0,1.0,structural problem,10485,0.322,https://sparse.tamu.edu/MM/Boeing/bcsstm38.tar.gz
MathWorks,Pd,8081,8081,13036,1,0,0,0,0.0,0.0,counter-example problem,13036,0.400,https://sparse.tamu.edu/MM/MathWorks/Pd.tar.gz
Pajek,Erdos972,5488,5488,14170,1,1,0,0,1.0,1.0,undirected graph,14170,0.434,https://sparse.tamu.edu/MM/Pajek/Erdos972.tar.gz
Pajek,Erdos982,5822,5822,14750,1,1,0,0,1.0,1.0,undirected graph,14750,0.452,https://sparse.tamu.edu/MM/Pajek/Erdos982.tar.gz
Pajek,Erdos992,6100,6100,15030,1,1,0,0,1.0,1.0,undirected graph,15030,0.461,https://sparse.tamu.edu/MM/Pajek/Erdos992.tar.gz
HB,bcsstm25,15439,15439,15439,1,0,1,1,1.0,1.0,structural problem,15439,0.473,https://sparse.tamu.edu/MM/HB/bcsstm25.tar.gz
Boeing,bcsstm37,25503,25503,15525,1,0,1,0,1.0,1.0,structural problem,15525,0.476,https://sparse.tamu.edu/MM/Boeing/bcsstm37.tar.gz
AG-Monien,ukerbe1,5981,5981,15704,1,1,1,0,1.0,1.0,2D/3D problem,15704,0.481,https://sparse.tamu.edu/MM/AG-Monien/ukerbe1.tar.gz
Pajek,California,9664,9664,16150,1,1,0,0,0.02241486068111455,0.02241486068111455,directed graph,16150,0.495,https://sparse.tamu.edu/MM/Pajek/California.tar.gz
Pajek,Erdos02,6927,6927,16944,1,1,0,0,1.0,1.0,undirected graph,16944,0.519,https://sparse.tamu.edu/MM/Pajek/Erdos02.tar.gz
